TINKLAS,OBT_PAVADINIMAS,OBJ_GV_TIPAS,OBJ_NUMERIS,P+,PL_T,P-
Kauno regiono tinklas,Butas,N,15633112,0.0526,2022-04-30 00:00:00,0.0
Klaipėdos regiono tinklas,Namas,Ne GV,332156,0.178,2022-04-30 00:00:00,0.0
Alytaus regiono tinklas,Namas,G,1380,0.6288,2022-04-30 00:00:00,0.0
Kauno regiono tinklas,Namas,N,141730,0.5515,2022-04-30 00:00:00,0.0
Utenos regiono tinklas,Namas,G,14769132,0.1721,2022-04-30 00:00:00,0.0
Utenos regiono tinklas,Namas,G,21723576,3.1038,2022-04-30 00:00:00,0.0
Utenos regiono tinklas,Namas,G,394680,3.3199,2022-04-30 00:00:00,0.0
Panevėžio regiono tinklas,Namas,G,12245478,0.4276,2022-04-30 00:00:00,0.0
Kauno regiono tinklas,Namas,N,3738268,0.753,2022-04-30 00:00:00,0.0
Klaipėdos regiono tinklas,Namas,G,329216,0.2768,2022-04-30 00:00:00,0.0
Klaipėdos regiono tinklas,Namas,G,329996,0.7813,2022-04-30 00:00:00,0.0
Panevėžio regiono tinklas,Namas,G,386940,3.3892,2022-04-30 00:00:00,0.0
Klaipėdos regiono tinklas,Namas,G,24402420,0.0828,2022-04-30 00:00:00,0.0032
Panevėžio regiono tinklas,Namas,G,17439990,0.2886,2022-04-30 00:00:00,0.0
Kauno regiono tinklas,Namas,G,134710,0.1452,2022-04-30 00:00:00,0.0
Panevėžio regiono tinklas,Namas,G,386040,3.8649,2022-04-30 00:00:00,0.0
Klaipėdos regiono tinklas,Namas,N,13296382,0.0469,2022-04-30 00:00:00,0.0
Alytaus regiono tinklas,Namas,G,6300,0.3517,2022-04-30 00:00:00,0.0
Klaipėdos regiono tinklas,Namas,G,8805486,0.1446,2022-04-30 00:00:00,0.0
Vilniaus regiono tinklas,Butas,Ne GV,444964,0.041,2022-04-30 00:00:00,
Klaipėdos regiono tinklas,Namas,G,325434,0.4764,2022-04-30 00:00:00,0.0
Alytaus regiono tinklas,Butas,Ne GV,54782,0.0987,2022-04-30 00:00:00,
Kauno regiono tinklas,Namas,G,129010,0.3592,2022-04-30 00:00:00,0.0
Kauno regiono tinklas,Namas,G,22699532,0.3366,2022-04-30 00:00:00,0.0
Alytaus regiono tinklas,Butas,Ne GV,27722,0.08,2022-04-30 00:00:00,0.0
Vilniaus regiono tinklas,Namas,G,451386,0.7108,2022-04-30 00:00:00,0.0
Panevėžio regiono tinklas,Namas,G,16065108,0.5334,2022-04-30 00:00:00,0.0
Klaipėdos regiono tinklas,Namas,G,14661348,0.5925,2022-04-30 00:00:00,0.0
Klaipėdos regiono tinklas,Namas,Ne GV,24454074,0.2503,2022-04-30 00:00:00,0.0
Klaipėdos regiono tinklas,Namas,G,14581988,0.0732,2022-04-30 00:00:00,0.0
